,factory,,,,,,,,,,,,,,,,,,
kernel,linear,,,,,,rbf,,,,,,kernel,rbf,,,,,
c,c=0.5,,c=1,,c=5,,c=0.5,,c=1,,c=5,,c,c=0.5,,c=1,,c=5,
features,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,features,single,reverse,single,reverse,single,reverse
DB,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,DB,92.383,92.383,92.383,92.383,92.383,92.383
DC,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.383,92.383,93.4712,92.383,93.3624,92.383,DC,92.383,92.383,93.4712,92.383,93.3624,92.383
DD,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,DD,92.383,92.383,92.383,92.383,92.383,92.383
DE,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.2742,92.383,92.383,92.383,92.1654,92.383,DE,92.2742,92.383,92.383,92.383,92.1654,92.383
DF,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.383,92.383,92.383,92.383,92.383,92.383,DF,92.383,92.383,92.383,92.383,92.383,92.383
DG,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,DG,92.383,92.383,92.383,92.383,92.383,92.383
DH,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.2742,92.383,92.1654,92.383,92.4918,92.383,DH,92.2742,92.383,92.1654,92.383,92.4918,92.383
DI,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.1654,92.383,92.1654,92.383,91.9478,92.383,DI,92.1654,92.383,92.1654,92.383,91.9478,92.383
DJ,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.2742,92.383,92.0566,92.383,91.5125,92.383,DJ,92.2742,92.383,92.0566,92.383,91.5125,92.383
DK,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.2742,92.383,92.0566,92.383,92.383,92.383,DK,92.2742,92.383,92.0566,92.383,92.383,92.383
DL,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.383,92.383,92.1654,92.383,91.6213,92.383,DL,92.383,92.383,92.1654,92.383,91.6213,92.383
DM,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.0566,92.383,91.9478,92.383,91.6213,92.383,DM,92.0566,92.383,91.9478,92.383,91.6213,92.383
DN,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,91.9478,92.383,DN,92.383,92.383,92.383,92.383,91.9478,92.383
DO,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,91.7301,92.383,DO,92.383,92.383,92.383,92.383,91.7301,92.383
DP,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.0566,92.383,92.1654,92.383,91.7301,92.383,DP,92.0566,92.383,92.1654,92.383,91.7301,92.383
